Answer,Question,Id_Number
"There may be little that you can do from another state. But the truth is that there may be little that you could do to help your mother, even if you were her next door neighbor. What makes this situation so difficult is the fact that she refuses help. This makes it doubly difficult for the family who has to watch her act in very destructive ways and there is little they can do to help.While you’re limited in how you can help, I have a few ideas. Instead of trying to convince her that she is bipolar (she may be but I cannot tell with so little information) and because you are not sure that she has the disorder tell her that you are concerned about her health and suggest she see a doctor instead of a therapist. While she may need a therapist, she seems unwilling to seek this type of help. If you could convince her to see a doctor, she may be willing to listen to his or her advice. The doctor may even be able to prescribe her medication that could serve to decrease her unstable behavior.You can talk to your mother over the phone about seeing a doctor but be sure that if you try this approach you may want to instruct your family to take this approach with her as well. She may be willing to see a doctor if the same consistent message comes from the entire family.A major concern with your mother is her talk of suicide and the fact that she has previously attempted suicide. Take this very seriously as your mother has already proved that she will attempt to take her own life. Past suicide attempts can be predictors of future attempts. This makes her a danger to herself and in most states she meets the criteria to be hospitalized against her will. If anyone has heard her mention suicide, you or your family should strongly consider calling either the police or a local mental health crisis team. The police or a mental health crisis team will come to the house and evaluate whether your mother needs to go to the hospital for treatment. Chances are, if she has mentioned suicide and because of her past attempts, she will be hospitalized. You can assist in this process, even though you are in another state by instructing your family to call the emergency authorities.Unfortunately, the nature of the mental health system is such that you cannot force individuals to get help unless they are a danger to themselves and others. Even when it is clear that someone is in desperate need of help, there is little anyone can do to force that individual into treatment. In your specific situation, however, your mother seems to be a danger to herself and will likely meet the criteria for a hospitalization. Let me know how this turns out. Take care.","My family and I suspect that our mother is bipolar and has been for quite some time. She is a very combative person and very unstable at the moment. She excessively spends money that they don’t have. They had to declare bankruptcy in the past. Currently they are living in a small mobile home that my brothers and I bought for them and they are living off of my stepdads SS checks. They do not have medical insurance which also proposes a problem. She is on many medications, but goes off and on them all the time. They can’t afford many of the medications she needs for other issues such as, gout, blood pressure, cholesterol, Polymyositis and more.",808
" Thank you for writing. I think it’s a very loving gesture for you to try to figure this out.It’s just true that different people have different levels of need for physical contact and physical expression. It’s an issue that almost every couple has to navigate at some point. But in your case, you say that you have always been uncomfortable with it. That suggests a couple of things that might be useful for you to explore:First, it could be that you are “tactile defensive”. Kids who don’t like much physical contact often have a sensory processing disorder that makes contact uncomfortable. Research it and see if it makes sense to you.Or it may be that someone broke your trust around physical contact when you were younger. If someone you trusted hurt you in some way, it would make sense that you don’t want someone to be too close.In either case, there are therapists who can help you sort it out and figure out what to do about it. You are only 16. Now is the time to address it while you are young and your brain and body are still developing.I hope you will follow up and talk with a counselor. You and your partner both deserve the sweetness that comes from physical intimacy.I wish you well. ","From a teen in the U.S.: For as long as I can remember, I have always felt uncomfortable both receiving and giving affection to others. I never viewed this as a problem until just recently. My girlfriend and I have been dating for almost two months now and she’s a very affectionate and supportive person. She seems to always find an excuse to be near me and I don’t have a problem with it. However, I worry that I’m not being as loving towards her as I feel I should be.",809
" Give your parents a chance to help you. You’re making assumptions about how they would react. Maybe you are right, but maybe you’re wrong. It’s worth a try. Honesty is the best policy. Tell them the truth and see what they say.If you try and it doesn’t work, then your next step is to contact the guidance counselor or another trusted faculty member at school. Tell them what’s happening and how you’re feeling. They will know how to help you and it is their job to do so. They may be able to speak to your parents about these issues and convince them to take you to a therapist.Hopefully, the aforementioned ideas will help you in moving forward. In the meantime, try engaging in stress relief activities such as journaling and being with supportive friends. The more you can surround yourself with positive and supportive people, the better you will feel. Journaling and being with supportive friends are not replacements for treatment but they will help you to feel better. Ideally, counseling would provide the most benefit and relief. Please write again if you have additional questions.","Recently, I have been having some problems. I’ve been seeing things and hearing things that my people around me can’t, I have a hard time remembering moments and even little things like & what I ate for breakfast this morning or what grade I got on my math test and I’ve noticed that I just can’t bring myself to do everyday tasks. I’ve been having a lot of thoughts that come from a voice that doesn’t sound like me. This, as you can imagine, has given me some concerns for my mental-well-being. My biggest problem, however, is that I don’t know how to talk to my parents about my concerns. I feel as though my dad would just laugh at me, and say you are a moron which is what he usually does when I ask him for help on other things. I just don’t know who to talk to, or how to see a professional if I can’t even ask my dad.",810
" There are many possibilities why this may be happening. Talking to your therapist is the best way to start moving through this. You owe it to yourself to explain why you want to leave. If he doesn’t know what you are thinking and feeling, how can he help? Talk to him about what is going on. A phone call termination isn’t your best choice.Wishing you patience and peace, ","I started therapy almost 9 months ago because I had anxiety problems and knew that I had underlying issues that may be causing it. My anxiety actually got a lot better, however, a few months ago I got extremely depressed, to the point where I very specifically planned out my suicide. Although I feel a lot better now, I still have a fairly low mood, low energy and I gained quite a bit of weight. I wonder if I am ever going to get better, or if this depressive episode has damaged my brain in a way that can’t be repaired. I feel like therapy isn’t helping with this at all – thinking through things can’t really elevate my mood, it actually often makes everything worse.",811
"  Thank you for your email and details about your situation. I would highly encourage the two of you to work with a couple counselor. Someone skilled in this form of therapy can help you sort through the the concerns and help you prepare for the future. I encourage you to begin this sooner rather than later, so that you can be ready when the baby arrives.Wishing you patience and peace, ","I have had a relationship for two years. It was difficult from the beginning but also very fulfilling in our times. In our second year he was diagnosed with a severe depression that he must have had for a while then. After the diagnosis he had a breakdown and was nearly not able to do anything anymore. He was emotionally aggressive and cruel towards me and I felt abused very often. In trying to take care for him I got health problems myself and found me a therapist. 10 month later I announced I would leave our flat for a while to recover, he left me and broke all contact – I was relieved, though I loved him very much. I lived without him for one year, recovered, were very happy, dated and had a fulfilling job, still I kept feeling I had lost the chance to grow old with someone I really loved.",812
" Obviously, it is not normal or desirable to be depressed just as it is not normal or desirable to have a fever. In both cases, something is wrong. At the very top of a list of things that should be done, would be finding a cure for your depression. Too many people believe that depression is just a normal part of life. Fever and depression are things that occur in life but they are a divergence from normalcy. In both cases, a treatment of some kind is necessary to eliminate the cause and produce a return to normalcy.If a fever is low and the depression is low, perhaps the body and the mind will overcome the cause and produce a return to normalcy. A high fever and a high level of depression, are unlikely to cure themselves and are likely to require treatment; treatment by a highly educated, trained professional. A physician and a therapist, are both highly educated specialists in their own fields. I would expect both of them to be able to produce a cure.Having a high fever is not normal and there are complications to the physical body from having a high fever. Having a high level of depression is also not normal and just like the high fever, the depression will cause complications. Curing the fever and the depression, will not only eliminate them but will also eliminate the complications caused by them.Your anger, cutting, and unhealthy fantasies are likely resultant complications of your depression. Certainly, I don’t know if that last statement is true because it is impossible to diagnose someone from a short letter posted on the Internet. Even though, I don’t know for sure, your treating therapist most certainly will know. One thing that I do know for sure, is that every symptom that you have described is treated, every day, with great success in therapy.I hope you will consider my suggestion and I wish you the best of luck.","For a long time, I’ve had thoughts about murder, I used to hate it but I’ve grown to enjoy it to the point where thinking about killing and playing with a person’s blood and insides sparks sexual desires. Recently I’ve been having images of blood soaking the streets, a big pile of (adult) bodies all mangled and shredded in the center and imagining rolling around and having sex on top of it all, fire and screams in the distance, I guess what you would imagine Hell to be like. (I’m not religious). I’ve also been thinking very strongly about committing a murder, especially when someone gets me very angry (I have a colleague who really likes to wind me up, almost intentionally nudging me towards doing something). Because of this I’ve distanced myself from many people. At work I can’t be around people, and part of my job is to be around people, but they’ve allowed me to keep to the sides and do my work alone.",813
" Your life might be great in many ways but that doesn’t mean that you “don’t have the right” to be sad. Everyone feels sad from time to time. It might be an indicator that something is wrong or that an adjustment is needed. It’s not something you should ignore.You mentioned not going to “regular school” for several reasons. That means that some set of issues made it difficult for you to attend “regular school.” In addition, not being in school means that you have less peer involvement and thus may be prone to loneliness. Teenagers generally like to be with their peers and it can be helpful and supportive to have a peer group with whom you interact. That is missing from your life.These are the types of problems that are commonly dealt with in counseling. It’s normal and healthy to want to be around people; it’s concerning when your preference is to isolate.Speaking to your mother wasn’t helpful but give her another chance. Ask her if she’d be willing to take you to counseling. The counselor will know how to help make the necessary adjustments to improve your mood.If your mother is still not taking you seriously, show her this letter. It might help her to understand what you are going through. Thank you for your question. Please take care.",I don’t think I have the right to be sad because my life is great compared to most but I don’t feel happy. I have no one to talk to and I feel like my mind is just full with different problems. I don’t go to regular school because I constantly feel like I don’t fit in or my self esteem gets in the way.. I’m confused with what is wrong with me or if there is even anything wrong with me. I have almost no friends and keep alienating myself from others even when I feel sad and lonely after. I have tried to talk to my mom about it but she brushed it off. what do you think?,814
" I wish I could be more helpful, but I don’t have enough information to give you a clear answer. What I can tell you is that there are many, many reasons a 20-year-old can be moody. It doesn’t necessarily indicate a mental illness. It may mean that there are stressors in her life that she isn’t handling well. She may have an undiagnosed medical problem. It may have something to do with her feeling like it’s time for her to move out and move on with life but perhaps she doesn’t have the resources or support to do so. It could be that there is a problem with a relationship. And, of course, it is possible that she is showing signs of emerging mental health problems.The best way to find out is to ask her with as much gentleness and support as you can — even if she is making you angry. Being angry with her won’t help. Being compassionate and offering your help might.I wish you well. ","From a teen in Indonesia: Hello, I’ve been struggling to find out what’s happening to my sis, she’s 20 turning 21 this year.. She always have this weird kinda act, for example like, she’s sulking because of one problem and then she became quiet and didn’t talk to anyone for 1/2 days then later she starts laughing and then crying, I don’t know what to do because she didn’t want to open up and slowly she makes me mad too because she kept laughing, scoffing Idk maybe she’s angry at me or what == I tried to tell my mom that maybe we need to go to psychiatrist but she just shrugged it off and said its not a big deal but then it startes to makes me feel depressed ughh so yeahh Thankyou~~",815
" I can’t diagnose you either, not on the basis of a letter. But I’m glad you wrote. It does sound like you’ve gotten caught up in obsessive thinking. You are even thinking about your thinking. I don’t know why you landed on mental illness as the topic. It could just as easily be something else. It does sound like one dimension is that you want to be special in some way. I don’t know why you didn’t pick another way to be special than mental illness. If I were seeing you for therapy, that’s one thing we’d talk about.Rather than seek out a therapist to diagnose you with Aspergers, why not look for a more general evaluation. Go into the evaluation with an open mind. Yes, you could have Aspergers. But you could also have an anxiety disorder or obsessive compulsive disorder, as only a couple of examples. Once a diagnosis is made, the counselor will make recommendations to you and your parents about how best to help you. Treatment, regardless of the label, does work for most of the people most of the time.Thank you for writing. It’s a really good idea to deal with this kind of situation while you are only 12, instead of letting it get more entrenched.I wish you well. ","From the U.S.: Hi. I’m 12. I’m not trying to be offensive, stupid, ignorant, and I’m not self-diagnosing myself, either. First of all, I think I have Aspergers. I’m trying to get diagnosed, although it doesn’t bother me too much. I’m not sure if this is an obsession caused by Aspergers or if it’s something different. I feel like this obsession has lasted alot longer than my other recent obsessions, which usually last only a couple days or months.",816
" You’re right. Your family has undermined you. It would be a huge mistake for you to compete with your brother or the grandma who seem to be “buying” him with indulgence. Spoiling him will only spoil him.There are two ways to “win” at a tug-of-war. Pull harder than the other side or drop your end of the rope. In this situation, I think you best bet is to do the latter. Stop arguing with the relatives and let them have your son as their guest for now. Go on with your lives. Enjoy having some time off from parenting a teen. Maybe you and your husband can even indulge yourselves by going to some events or out to dinner since you don’t have to worry about working around your son’s schedule and needs.Your son has no motivation to give up the freedom and indulgence. I’m hopeful that the situation will get old for the relatives. For now, they get to feel superior to you. But will they continue to want your son in their lives, living the high life at their expense, for very long? Unless they have unlimited funds and patience, there is going to come a point where they will have to draw some limits and your son will be rude to them, too. Teenagers often are. At that point, resist the temptation to say “I told you so” and don’t be quick to take him back. That’s the moment when you can negotiate rules for his behavior at home and boundaries with the relatives.I wish you well. ",From England: We had an argument with our teenage son who was rude and insolent. I handled it wrong. I got angry and shouted at him. I told him to stay at his grandmother’s house until he learned manners. But his grandmother has taken his side and my brother has too including taking him on a shopping spree and spending hundreds of dollars on him.,817
" I agree with you. It would be “ridiculous” to purposefully hurt yourself under any circumstances. Give them this letter. If they read it, it might help to them to appreciate what you’re going through. It could make a difference in how seriously they take your concerns.Another consideration is meeting with a new set of mental health professionals. Perhaps the ones with whom you are currently working are not the best match for you. Not all therapists will be suitable for all clients. If you have the option of consulting with others, you might try it.I wondered if you’ve tried talking to your parents. Are they responsive to you? Perhaps they could be your advocates in this matter. It’s worth a try.You mentioned that one of your treating professionals is a psychiatrist. That would suggest that you are taking medication. Your symptoms might be the result of a problematic drug interaction or negative side effects. Ask your psychiatrist if that is a possibility.The compulsions, the twitching movements, and so forth, might be indicative of a movement disorder such as tics, Tourette syndrome or a motor stereotypy. I’m not suggesting the you have a movement disorder because it is impossible to provide a diagnosis over the internet but all possibilities should be explored. A neurologist or a specialist who treats movement disorders could determine whether or not a movement disorder diagnosis would be warranted.I’m sorry that this is happening to you. I would encourage you to continue to ask for help and to be persistent until you get the help you need. Please write again if you have additional questions. Good luck.","I feel myself screaming in my own head, have compulsions to act…insane…like doing weird twitchy movements, talking in a nonsense language or just making grimaces and noises. So far I am in a firm control of these compulsions, they never slip in public. But when I am alone, sometimes I just…cant. And its like something overtakes my body while I just scream internally. Its like my own mind is trying to imprison my consciousness in a prison while replacing it with raving lunacy, while I fully realize what I am doing and what is happening around me, but am too deep to regain control. My therapists and psychiatrist do not believe me and keep convincing me that I am just making stuff up. I dont know how to convince them to take me seriously. Lately I have been considering hurting myself badly, just to prove them that I am serious. But It seems ridiculous to me. Hurting myself to gain attention seems stupid and childish… Any idea what is happening? Advice on what I should do?",818
" If you are taking medications, then you most likely have a psychiatrist. It is up to a psychiatrist to adjust your medications so that the symptoms can be reduced or eliminated. Psychiatrists are medical doctors and as such, are experts in the use and the interactions of medications. Talk to your psychiatrist and if you are not satisfied, get a second or even third opinion.If you are not in counseling or some other form of psychotherapy, then you might consider doing so. Studies indicate that counseling appears to make medications more effective.I am aware of no consensus as to the cause of hallucinations or delusions that has been scientifically proven or is widely accepted. It is widely accepted, that stress is detrimental to everyone’s physical and psychological health. Someone in poor physical health may actually be killed by the stress they are undergoing. Someone with diagnosed psychological issues, may see an increase in symptoms and their severity.Make sure you notify everyone involved in your treatment, of your new symptoms. Prevention is always easier than the cure. All that I can provide you, are a few words in a written response to a question. That might be informative, but it most certainly is not real help. Real help, is available to you from your treatment team. Don’t hesitate to get real help. Good luck and I apologize that I could not be of more assistance.",I am having daydreams where I am being physically punished. They are stories in my head where I am always the victim. They usually involve an authority figure beating me and forcing sex on me. These daydreams have become obsessive that I have lost interest in my hobbies. It is disturbing to me that I enjoy them and I want them to happen to me in real life. It is difficult to focus at work and driving with this story script running in my head. I am 45 and have Had Schizoaffective disorder since my 20s. These daydreams are always a precursor that I am getting sick. I get the daydreams and 1 or 2 weeks later I hear voices. This time I lasted 2 weeKs before the voices started. I take my medicine as prescribed. I am udergoing increased stress with a bankruptcy. My question is why do I get these daydreams and how can I stop them before I get extremely sick and need hospitalization? Thank you for your time in answering my question.,819
"  Thanks for having the courage to start talking about this. You are looking for an identity, but the way you are going about it is likely to make things more difficult. You’ve taken the first big step here by talking about it. It is time to talk about this with someone who can help you sort though these thoughts. I can only imagine it isn’t easy having them.Because your profile says you are in middle school I would encourage you to talk to your mom or dad about going to talk to a counselor. If it is too difficult for you to talk to them show them this column and ask for them to help. I wouldn’t wait too long on this. Ask them to help you find someone to talk to sooner rather than later.Wishing you patience and peace, ","Ever since I was about eight or nine, I’ve always had a desire for a mental disorder. Its less like a want and more like a need, I need one, so much so that I attempt to convince myself, and sometimes other people, that I have one. Ever heard of mind over matter? I try to use that to my advantage. I spend hours trying to find something, anything that I might have, its almost hurting.",820
" It is good that you are attempting to address this issue. You realize that there might be a problem and seem to be open to fixing it, if so. It’s possible that your desire stems from a lack of power and control in your life. People fantasize about things they don’t have. If you had a sufficient level of power and control, you would never fantasize about it because it would be unnecessary.I have virtually no information about your life and therefore I can only theorize about the potential reasons for your thoughts. It would be advantageous to explore this issue more thoroughly in counseling. You will not shock a therapist with these types of thoughts. They are relatively common but should not be ignored. It’s always good to be proactive when you can. Thank you for your question. Please take care.",I don’t really know what to call it because it’s not so much an urge but just something i want to feel. I don’t have any mental illnesses at least not diagnosed professionally and i come from a loving middle-class family. For maybe a year or so now I’ve had the curiosity or want to know the feeling of pure hatred towards me. I want to kill somebody for the sole purpose of watching their family mourn and know that i killed them just to know how that feels. I want to torture somebody although i can’t see myself doing that. It’s almost as if it’s a craving really. I try to just not think about it and maybe it’ll stop but it’s always just kind of their not really strong but always noticeable in the back of my mind. I don’t really know what to do about it or if I need to do something. I’m just looking for some advice about it.,821
" I’m sure this is very upsetting to you both. Your girlfriend is fortunate to have such a supportive and caring boyfriend. From what you wrote, I can only guess that, however much she cares for you, your girlfriend really isn’t ready to be sexual. For whatever reason, she doesn’t feel that she can just say no so she has developed symptoms that make it impossible to have a relaxed and loving sexual relationship with you.My best advice is that you back way off. If it’s true, let her know that you love her and that you are willing to wait for sex until she is truly comfortable with it. If you can’t manage that, then it’s only fair to gently take some distance. Make sure you let her know that you respect her choice but that your needs are different at this time. It’s important that she not feel punished for having different values than yours.Meanwhile, I do think it would be helpful for her to see a mental health professional. Her anxiety is now on overdrive. She may not be able to settle down without some help. She might benefit from some medicine to help relieve the anxiety and some talk therapy to help relieve her of any guilt she may be feeling.I wish you both well. ","Hi, I am 19 years old and my girlfriend is 17 years old, we have been dating for a little over a year and really love each other but right now there is a serious relationship problem. We have been having sex routinely for around five months then in December (three months ago) we stopped having sex because she was scared to have it. We always had extremely safe sex; I always wore a condom and with drawled. She was very scared she was pregnant and thought her period was late so we bought two home pregnancy tests, they both came out negative. Two days later she had got her period. It was six days late and lasted seven days. She still thinks she is pregnant though, she has had no pregnancy symptoms.",822
" Your son is fortunate indeed to have parents who aren’t quick to over-react. Often it is a parent’s reaction that makes something simple into a big deal.You’re right. A 4-year-old doesn’t yet know all the social rules, although he’s already accepted some of the cultural definitions of what are “girl things” vs. “boy things.” My best suggestion is that you out-and-out ask him what he likes about having your things – as matter of factly as you can. Turn the conversation to a short explanation that underwear is a private thing that boys and girls don’t share. Keep it lighthearted. Joke with him about how silly you would look trying on his shorts.It’s important to remember in situations like this that young children explore their world with all of their senses. When confronted with something new, they handle it, smell it, and even taste it. As we get older, we tend to drop off smelling and tasting novel things and even limit how much we go around feeling textures. Adults rely pretty much on sight and hearing to explore. One possibility is that your son simply likes how your underwear feels and he doesn’t have anything as soft, or silky, or pretty. If that’s the case, perhaps the two of you could look around the house for something else that feels nice.My other guess is that having your underwear is about wanting to have a bit of you with him when he is anxious. If he is using your panties partly for security, see if there is something else of yours that he would like to have close to him at night. If I’m right, an old T-shirt might do. One of my kids took an old pajama top of mine to bed with him for about a year – his variation on the blanket lots of kids get attached to.I think it is quite normal for both boys and girls to want to be close to their moms when an interloper in the form of a new sibling comes into the house. Your son was old enough when the baby was born to remember when he had your exclusive attention and time. Sharing is really, really hard. Somehow being “big” isn’t always what it’s cracked up to be. Do give him strokes for being a “big brother,” of course. But I hope you will also continue to give him some time each day when he can be cuddled and tickled and held while baby plays or naps.I wish you well. "," My husband and I are both nurses. We have two sons. Our oldest will turn five in May and our second son will turn one in April. My husband works full time while I stay home with the kids. Tonight, I caught our 4-year-old wearing my thong underwear under his pajamas. It turns out, he stashed some of my underwear in his room along with two of my Victoria’s Secret catalogs. We talked to him about this. I have always noticed evidence of what Freud calls the oedipal complex in my son. He is a smart boy and has adapted quite well to his new role as big brother. He has said “why did God not make me into a girl” but when I explore this, it turns out that what he really means is that he likes girls, including mommy because girls are pretty. I have never seen any other “feminine” tendencies in him (he’ll say pink is for girls and refuse to ride a Barbie bike) but I just want to make sure that this is just a normal phase for him and we shouldn’t be thinking about gender issues here. I imagine a 4 year old won’t see this as a social taboo although it would be a different situation in an older kid. Please share your views about this situation. Thank you very much.",823
" Your symptoms indicate that something may be wrong. You mentioned guilt. You should only feel guilty if you did something wrong. There’s nothing in your letter that suggests that your feelings of guilt are warranted.You might also be describing paranoia, among other symptoms, which seem to be causing distress. An evaluation is necessary to determine what’s wrong and which treatment can help.You asked what you should do to “cure yourself.” Inherent in your question is the idea that it is easy to “cure yourself” and that you should be able to do it. These are common beliefs, among many people, in our culture — the idea that anyone, without any professional training whatsoever, should be able to cure their own psychological problems.People don’t think that way about medical conditions. I never hear anyone putting themselves down because they can’t cure their own cancer or remove their own gallbladders or perform their own root canals. No one expects a layperson to cure their own medical problems yet many people believe that they should be able to cure their own psychological problems.There’s a great deal of training involved in becoming a mental health professional. They must earn a minimum of a Master’s degree and be licensed in order to practice in their respective states. The idea that you should know how to cure yourself, without any requisite training, is a faulty one.I would recommend consulting a mental health professional. They will know how to help you. All of the symptoms that you have described are treatable with counseling and, in some cases, medication. Ask your parents to assist you in finding a mental health practitioner in your community. Your parents could ask your pediatrician or primary care physician for a referral.If you feel that you might harm yourself, contact emergency services. You can do that in multiple ways including calling 911, going to the local hospital, or calling or texting the national suicide hotline. The phone number for the National Suicide Prevention Hotline is 1-800-273-8255. The crisis text line information is the following: text HOME to 741741 in the United States. They will know how to protect you.","Recently, i feel like i’m going mental. Guilt, depression, and all other negative emotions are what i’m feeling ! I keep doubting everyone around me, including myself, i feel like i might lose control. Sometimes i get awful thoughts that makes me feel guilty. sometimes i dont think my thoughts are mine at all. i even started wondering if this was reality, maybe the world doesn’t exist and that im dreaming. im paranoid about everything; people are staring, they’re talking behind my back, i cant trust anyone- my mood keeps changing, one times im cheerful and happy and the next im angry and depressed, the next im hateful and dislike everyone. then i began thinking that pain is nice and that it eases my guilt. i feel guilty a lot. i also think that someone is living inside my brain, watching me and judging me and it scares me a lot because i cant behave normally since i feel like the person inside my mind is laughing at me. im so so so so exhausted and all i want is rest but i cant seem to rest i love my family a lot, a lot, but because of my current mood swings and mental state ive been mean to them. it makes me guilty to the point i feel suicidal i dont know what i should do to cure myself.",824
" Your soon-to-be ex is toying with you. He deliberately tries to upset you and then makes a joke about it. Making a joke about a subject that he knows bothers you is very insensitive. He may be doing it as a way to judge how important he is to you. It’s like saying “don’t take me for granted because I could leave you any time.” He may also do it because it prompts a reaction from you. In other words, he does it because he can. If he brought up his ex-crush and you had no reaction, he would probably stop.You asked about how you could get him to tell you the truth. You can’t. You can’t force someone to do anything. The problem is that he’s untrustworthy. He has lied to you on several occasions. It is difficult to have a relationship with someone who violates the basic tenets of a good relationship, honesty without deception.If he were in love with his ex-crush he could’ve kept it a secret. I am not saying that would have been the correct way to handle this situation but the point is that most individuals can keep secrets. He chooses not to and instead brings up the topic of his ex-crush seemingly for the purpose of deliberately upsetting you. He does this at your emotional expense, without concern about how it makes you feel. Not only is this type of behavior insensitive but it shows a high level of emotional immaturity.You wrote in your letter that you and he have decided to break up “next week.” The fact is that once you have decided to break up you’ve already broken up. The relationship is over, perhaps for the better. Thanks for writing. I wish you the best of luck.","I have a boyfriend. There’s some problem going on so we had to go on separate ways. We’re breaking up next week and we want to end everything as clean as possible. We we’re talking about it one afternoon when all of a sudden he told me he wanted to say something important to me on the day we’ll break up. I asked him why can’t he say it now and he said I might get mad at him. I insisted and he suddenly blurted out, “I still love her” (referring to the girl he was courting before me). He said it in a serious face and all I could say was “really?”. All of a sudden his expression changed and he said it was only a joke. He said he only wanted me to get mad at him and that he really loves me and no one else. I don’t know if I should just consider it as a joke for I have my own suspicions myself. I don’t know if dreams are really that accurate but it’s actually bugging me lately. There was a time I dreamt of a girl my boyfriend was really close with and he was cheating on me. After a few days, I asked him, if he hadn’t met me, who would he court. His answer was that particular girl i just dreamt about. Then just last week, I had another dream that he was again, cheating on me. I dreamt that he was texting his “ex-crush” while I pretend to be sleeping. Then after a few days, he told me that “not so nice” joke.",825
" This is such a good question. Many parents find themselves in the same delemma. To push or not to push. The first priority is to preserve your relationship with her. She is a young teen with the challenging teen years ahead. It’s more important that she feel she can talk to you than win another ribbon. But I don’t think it has to be an either/or.I don’t think the issue is laziness. A lazy kid would not get this far. It may have more to do with thinking that if she isn’t sure she’ll be the best, she doesn’t want to try. Her self-esteem may be so tied up with winning that she can’t risk losing. By pulling back, she can always tell herself that she would have won if she had put in the effort. It’s a “face-saving” tactic.It’s normal for kids to want to try out a number of activities before finding the one that grabs their heart and attention. Many a kid has started an instrument or dance or sport with great enthusiasm, only to drop it later for something else. What concerns me about your daughter, though, is that she isn’t pulling back at dance in favor of something else. That also suggests to me that self-esteem issues may be at work here.You didn’t mention what your daughter’s coach or teacher thinks. Is her teacher frustrated, too? Do you think the teacher has the kids’ best interests at heart — not just winning? If so, perhaps a talk with the teacher will be helpful. Often a teacher or coach can inspire a kid when the parent can’t. If the teacher is too invested in “winning”, don’t go that route. You may be able to address the self-esteem issues on your own or it may be that you can think of another relative or older friend who can talk to your daughter about it.If those aren’t options, then I suggest seeing a family therapist with your daughter. This is not because I think you aren’t being a good mother. Quite the contrary. I think it’s better for a therapist to help you and your daughter solve to problem together as a way to lay the foundation for other difficult talks as she moves through the teen years. I don’t think it is helpful for a counselor to become a more important sounding board than her mother.I wish you well. ","From the U.S.: I have a daughter who does competitive Irish dance. From 8-12 she competed regularly and won consistently (13 now). When she hit the highest level within the sport, she started to not do as well. This sapped her confidence and in turn, her desire to compete. She has a natural talent that has gotten her to the place where she is. Now, she has to put in the work to compete against the girls at her level. If she did put in the work, she would dominate. But she doesn’t want to do that and I’m not sure if it’s because she’s lazy or is afraid of putting in the work and still losing. In reality, she still does well, but just not placing within the top 3 like she used to.",826
" Thank you for reaching out. Since you have already sought medical treatment, I would recommend that you consult with a sex therapist. Research indicates that both vaginismus and vulvodynia are thought of as being somewhat psychosomatic. Sex therapy can aid in addressing possible psychosomatic causes for these issues and can provide you with tools that may assist you in working through the difficulties you are experiencing. Exploring the psychological aspects of these conditions with a mental health professional will also aid you in addressing the concerns you have about your relationship with your boyfriend.– ","I’m currently in a very happy and otherwise healthy, long-term romantic relationship for the first time in my life. My boyfriend is a very caring and sensitive guy and we both love each other very much, but I’m concerned that some of my pre-existing sexual issues may cause problems down the road for our relationship. I have primary vaginismus and vulvodynia, and my first sexual experiences were very negative and traumatic. I have been to a gynecologist about these issues and went through physical therapy to try and overcome them, but even after a few years penetration is still painful and sometimes very difficult. While trusting my partner makes a big difference in reducing the amount of pain I’m in during sex, and with my current boyfriend there have been several occasions where it was virtually painless, it’s still a constant factor in my sex-life. While I do enjoy the intimacy of sex with my boyfriend despite this, I have never been able to achieve orgasm no matter what my partner tries to do or for how long. Even with assistance from vibrators it’s virtually impossible, and the only way I’ve managed to achieve orgasm is by my own intervention. I don’t understand why I have this issue, especially because I am very attracted to him. My boyfriend doesn’t complain to me about it or anything like that, but I can tell that it makes him feel self-conscious. I’ve tried explaining to him that it’s not his fault at all, but I worry that he still feels like he’s inadequate. What should I do?",827
" I’m so glad you wrote. But here’s the thing. You’ve had symptoms half your life. I’m truly, truly sorry that the two people from whom you tried to get help failed. But the failure of 2 people in 11 years does not mean that there isn’t help out there. Please take care of yourself and try again — and again.One intake worker I know regularly told callers that finding a therapist is like finding a new pair of jeans. You might try on a dozen pair but only one fits in such a fine way that you take it home. Sometimes it takes trying on a dozen pair before you find the right one. But when you do, all the shopping and trying them on was worth it. Finding a good helper really is like that. Sometimes we have to interview several before we find the person who connects, who listens, and who offers the kind of help that resonates.So please don’t let 2 unhelpful people determine whether you reach out again. Shop around until you find the therapist who gets you. Be honest in your interviews. Tell any new therapist about the failures and why you think they failed. It might be helpful for you to take your letter to us and this response with you on the first meeting to help you introduce the problem.Please follow up. You deserve to get the help you want and need.I wish you well. ","From the U.S.: I have had symptoms of depression, and formerly anxiety as well, that interfere greatly with my everyday life for upwards of seven years. Over the years I have attempted to reach out to medical professionals twice, the first time as a child, only for them to tell my parents I was totally fine, even though I was suffering from severe anxiety symptoms, depressive symptoms and self harming.",828
